編號,型式,測照地點,測照方向,速限,行政區,測照型式,座標緯度,座標經度
129,線圈數位,一心一路與和平二路口,西向東,50,前鎮,闖紅燈,22.606933,120.320551
130,線圈數位,一心一路與光華二路口,東向西,50,前鎮,闖紅燈,22.608536,120.317053
131,線圈數位,保泰路與瑞隆路口,南向北,50,前鎮,闖紅燈,22.605716,120.338568
132,線圈數位,凱旋三路與二聖一路口,北向南,50,前鎮,闖紅燈,22.612075,120.32679
133,線圈數位,中山二路與文橫三路口,南向北,60,前鎮,闖紅燈,22.611724,120.305481
134,線圈數位,凱旋四路與中華五路口,西向東,50,前鎮,闖紅燈,22.593439,120.309497
135,線圈數位,中山三路與正勤路口,北向南,60/40,前鎮,闖紅燈,22.604418,120.309194
136,非線圈數位-雷射,中山四路地下道(北向南出口)(變換車道),北向南,60,前鎮,變換車道,22.583428,120.326496
137,非線圈數位-雷射,中山四路地下道(南向北出口)(變換車道),南向北,60,前鎮,變換車道,22.584517,120.32565
138,非線圈數位-雷射,凱旋四路與凱旋四路424巷口,西向東,40,前鎮,闖紅燈,22.594706,120.314746
139,非線圈數位-雷射,成功二路、興發路口,北向南,50,前鎮,闖紅燈,22.593822,120.30554
140,非線圈數位-雷射,中華五路與復興三路口,南向北,50,前鎮,闖紅燈,22.606278,120.304847
141,非線圈數位-雷射,中山四路與中平路口,北向南,40,前鎮,闖紅燈兼路口科技執法監測,22.580608,120.328819
142,非線圈數位-雷射(雷達),中山三路與凱旋四路,南向北,60,前鎮,闖紅燈兼超速,22.595958,120.316285
143,非線圈數位-雷達(雷射),中山四路與金福路口,北向南,50,前鎮,闖紅燈,22.576746,120.331922
144,非線圈數位-雷射,中山四路與中安路口,南向北,50,前鎮,闖紅燈兼路口科技執法監測,22.580268,120.329487
145,線圈數位,中山四路與鎮海路口,北向南,40,前鎮,闖紅燈,22.592764,120.318561
146,線圈數位,三多二路與桂林街口,西向東,50,前鎮,闖紅燈,22.617661,120.315796
147,非線圈數位-雷達(雷射),凱旋四路與籬仔內路口,南向北,50,前鎮,闖紅燈,22.603518,120.323735
148,非線圈數位-雷射(雷達),前鎮區草衙二路與金福路口,北向南,40,前鎮,闖紅燈,22.57210616,120.328035
149,非線圈數位-雷射(雷達),前鎮區成功二路與舊凱旋四路口,南向北,50,前鎮,闖紅燈,22.59286456,120.306013
150,非線圈數位-雷射(雷達),前鎮區凱旋四路與鎮興路口,東向西,50,前鎮,闖紅燈,22.59389014,120.3113958
151,非線圈數位-雷射(雷達),前鎮區舊凱旋四路與鎮興路口,西向東,50,前鎮,闖紅燈,22.5938516,120.310832
152,非線圈數位-雷射(雷達),前鎮區舊凱旋四路與前鎮街口,西向東,50,前鎮,闖紅燈,22.59286456,120.3075014
153,雷達數位,前鎮區新生高架道路0.82K,南向北,60,前鎮,超速,22.583642,120.309643
154,非線圈數位-雷射(雷達),前鎮區凱旋四路與前鎮街口(輕軌沿線) ,東向西,50/40,前鎮,闖紅燈,22.592747,120.308085
155,非線圈數位-雷射,前鎮區新生路與金福路口,北向南,50/40,前鎮,闖紅燈,22.5676844,120.3230391
156,線圈數位,前鎮區新生路與鎮州路口,南向北,50,前鎮,闖紅燈,22.587458,120.306635
157,雷達數位,高速公路(金福路)高架聯絡道南下（離金福路出口900公尺處),東向西,40,前鎮,超速,22.578004,120.326097
158,雷達數位,高速公路(金福路)高架聯絡道北上（離金福路出口500公尺處),南向北,40,前鎮,超速,22.575213,120.32594
159,非線圈數位-雷射,前鎮區班超路瑞祥高中前,北向南,50,前鎮,闖紅燈,22.601731,120.325349
160,雷達數位,美濃區美興街232號前(月光山隧道前方),南向北,50,美濃,超速,22.912997,120.536556
161,線圈數位,美濃區中山路二段359巷口,南向北,60,美濃,闖紅燈,22.896793,120.519852
162,雷達數位,美濃區復興街一段480號前,北向南,50/40,美濃,超速,22.870377,120.5492
163,非線圈數位-雷射(雷達),美濃區中華路(台28線)與獅山街口,東向西,60,美濃,闖紅燈兼超速,22.878003,120.570569
164,線圈數位,建國路與武廟路口,東向西,50,苓雅,闖紅燈,22.633484,120.321806
165,線圈數位,五福三路與英雄路口,東向西,50,苓雅,闖紅燈,22.620946,120.294259
166,非線圈數位-雷射,建國一路與正義路口,西向東,50,苓雅,闖紅燈,22.629907,120.338216
167,雷達數位,中山二路361號前,北向南,50,苓雅,超速,22.616147,120.303607
168,雷達數位,中山二路432號前,南向北,50,苓雅,超速,22.619112,120.302654
169,線圈數位,武營路與三多一路口,南向北,50,苓雅,闖紅燈,22.623599,120.335901
170,線圈數位,五福一路與凱旋二路口,西向東,50,苓雅,闖紅燈,22.629811,120.321106
171,線圈數位,建國一路與中山高涵洞東側,西向北,50,苓雅,違左,22.630255,120.336708
172,雷達數位,中正一路國軍高雄總醫院旁,東西向,50,苓雅,超速,22.625674,120.339462
173,雷達數位,中正地下道(東向西出口)(超速),東向西,50,苓雅,超速,22.630128,120.320038
174,非線圈數位-雷射,中正地下道(東向西出口)(變換車道),東向西,50,苓雅,變換車道,22.630128,120.320038
175,雷達數位,中正地下道(西向東出口)(超速),西向東,50,苓雅,超速,22.629728,120.325019
176,非線圈數位-雷射,中正地下道(西向東出口)(變換車道),西向東,50,苓雅,變換車道,22.629728,120.325019
177,線圈數位,五福一路與和平一路口,西向東,50,苓雅,闖紅燈,22.628725,120.3182
178,非線圈數位-雷射(雷達),苓雅區中正一路與高速公路,西向東,50/40,苓雅,闖紅燈,22.62665,120.33634
179,非線圈數位-雷射,苓雅區三多一路與建軍路口,西向東,50,苓雅,闖紅燈,22.624517,120.341863
180,非線圈數位-雷射,苓雅區三多二路與凱旋二路口,東向西,50,苓雅,闖紅燈,22.620996,120.325719
181,非線圈數位-雷射,茄萣區高1-1線與崎漏路口,東向西,60,茄萣,闖紅燈,22.882756,120.191057
182,線圈數位,湖內區中山路一段與284巷口,南向北,60,湖內,闖紅燈,22.886343,120.244676
183,非線圈數位-雷射(雷達),湖內區和平路與東方路口,南向北,70,湖內,闖紅燈兼超速,22.876429,120.225013
184,線圈數位,民生一路與仁愛二街口,西向東,50,新興,闖紅燈,22.627457,120.306849
185,雷達數位,中山一路與民生一路,北向南,50,新興,超速,22.627744,120.301459
186,線圈數位,旗楠路與土庫路口,東向西,50,楠梓,闖紅燈,22.735595,120.332864
187,線圈數位,德中路與大學二十九路口,南向北,60,楠梓,闖紅燈,22.722903,120.277368
188,非線圈數位-雷射(雷達),德民路與海專路口,西向東,60/40,楠梓,闖紅燈,22.726525,120.310349
189,線圈數位,旗楠路與常德路口,東向西,60,楠梓,闖紅燈,22.740109,120.336875
190,線圈數位,左楠路與後昌路口,南向北,50,楠梓,闖紅燈,22.707396,120.302536
191,雷達數位,加昌路367號前,東西向,50,楠梓,超速,22.719819,120.310066
192,雷達數位,高楠公路1015-6號前,南北向,60,楠梓,超速,22.717821,120.325355
193,雷達數位,高楠公路與德民路口以北135公尺處,南北向,60,楠梓,超速,22.734089,120.319587
194,線圈數位,加昌路與左楠路口,西向東,50,楠梓,闖紅燈,22.717357,120.303934
195,非線圈數位-雷射(雷達),高楠公路與德民路口,南向北,60,楠梓,闖紅燈兼超速,22.732938,120.320147
196,線圈數位,高楠公路與水管路口,北向南,40,楠梓,闖紅燈,22.732938,120.320147
197,線圈數位,楠梓區德民路與德惠路口,東向西,50,楠梓,闖紅燈,22.725397,120.30323
198,非線圈數位-雷射,楠梓區左楠路與外環西路,南向北,50,楠梓,闖紅燈,22.711885,120.302732
199,非線圈數位-雷射,楠梓區興西路與鳳楠路 ,北向南,50,楠梓,闖紅燈,22.7219426,120.332134
200,線圈數位,楠陽路與鳳楠路口,西向東,60,楠梓,闖紅燈,22.723976,120.330056
201,線圈數位,高楠公路金屬研發中心前,南向北,60,楠梓,闖紅燈,22.714824,120.325951
202,線圈數位,路竹區環球路新生路口,東向西,50,路竹,闖紅燈,22.878794,120.292526
203,非線圈數位-雷射(雷達),路竹區環球路與樹人醫事學校前路口,西向東,60,路竹,闖紅燈兼超速,22.880973,120.260404
204,非線圈數位-雷射(雷達),路竹區中山南路47號前路口,南向北,60,路竹,闖紅燈兼超速,22.836018,120.2648256
